uid,perc_repeat_7,gender,age_group,regions_us
733,0.5439330543933054,Female,18-44,NA
734,0.3424657534246575,Male,18-44,Midwest
735,0.5573248407643312,Male,45+,South
736,0.44947735191637633,Male,18-44,NA
738,0.22,Female,18-44,South
739,0.5406871609403255,Female,18-44,NA
740,0.7533632286995515,NA,NA,NA
741,0.39705882352941174,Female,45+,Northeast
742,0.5150501672240803,Female,45+,South
743,0.48282828282828283,NA,NA,NA
744,0.4965034965034965,Female,18-44,West
745,0.3114754098360656,Female,45+,NA
746,0.1323529411764706,NA,NA,NA
747,0.23529411764705882,Female,18-44,West
748,0.5612903225806452,NA,NA,NA
749,0.4404332129963899,Male,45+,Northeast
751,0.6482300884955752,Male,18-44,South
752,0.640625,Female,18-44,Midwest
753,0.40208333333333335,Female,18-44,NA
754,0.3292533659730722,Female,18-44,Midwest
755,0.09803921568627451,Male,18-44,West
757,0.6973684210526315,Female,18-44,Northeast
758,0.49466192170818507,Female,18-44,West
759,0.48148148148148145,Female,45+,South
760,0.5210084033613446,Male,18-44,NA
761,0.39166666666666666,Female,45+,Midwest
762,0.1826086956521739,Male,18-44,Midwest
763,0.5902992776057792,NA,NA,NA
764,0.25,Female,45+,Northeast
766,0.34838709677419355,Female,18-44,West
767,0.2919254658385093,Male,18-44,West
768,0.3188405797101449,Male,18-44,Midwest
769,0.3140495867768595,Male,18-44,Midwest
771,0.25396825396825395,Female,18-44,NA
775,0.6184668989547039,Male,45+,Northeast
776,0.14622641509433962,Female,18-44,South
777,0.10714285714285714,Male,45+,Northeast
779,0.2261904761904762,Female,45+,Midwest
781,0.31153846153846154,Female,18-44,NA
782,0.22526817640047675,Female,18-44,South
783,0.5365168539325843,Female,18-44,West
784,0.33527696793002915,Male,18-44,West
786,0.4723618090452261,Female,18-44,NA
787,0.13793103448275862,Female,18-44,NA
789,0.7674418604651163,NA,NA,NA
790,0.4473007712082262,Female,18-44,NA
791,0.5448275862068965,Female,45+,NA
792,0.18333333333333332,Female,18-44,South
793,0.524390243902439,Female,18-44,Midwest
796,0.502803738317757,Female,45+,South
797,0.49498843484965305,Female,18-44,South
798,0.46875,Female,45+,NA
801,0.4212076583210604,NA,NA,NA
802,0.6299212598425197,Female,18-44,Northeast
804,0.3269230769230769,Female,45+,NA
806,0.40625,Female,18-44,South
807,0.45588235294117646,Female,18-44,NA
808,0.4207920792079208,Female,18-44,Midwest
809,0.5738963531669866,Female,18-44,West
810,0.23255813953488372,Female,18-44,NA
811,0.477792732166891,Female,18-44,Northeast
812,0.4,Female,18-44,Midwest
814,0.1972318339100346,NA,NA,NA
815,0.29310344827586204,Female,18-44,NA
816,0.286144578313253,NA,NA,NA
817,0.45,Female,18-44,West
818,0.4965034965034965,Female,18-44,NA
819,0.5882352941176471,NA,NA,NA
820,0.29515418502202645,Female,18-44,NA
821,0.34972677595628415,Female,18-44,Midwest
822,0.6851851851851852,Female,18-44,Northeast
823,0.6875,Female,18-44,NA
824,0.4899598393574297,Female,18-44,NA
826,0.4988610478359909,Female,18-44,Midwest
828,0.5648854961832062,Male,18-44,South
829,0.5160523186682521,Female,18-44,West
830,0.5057471264367817,NA,NA,NA
831,0.3148148148148148,Female,18-44,NA
832,0.6111111111111112,Male,18-44,NA
833,0.125,Female,18-44,South
835,0.44525547445255476,Female,18-44,NA
836,0.20689655172413793,Female,18-44,South
837,0.4978902953586498,Female,18-44,Northeast
838,0.35340314136125656,Female,18-44,NA
839,0.6920103092783505,Female,18-44,West
841,0.1968503937007874,Female,18-44,Midwest
843,0.43586387434554974,Female,18-44,West
844,0.4295774647887324,Female,18-44,Midwest
845,0.28776978417266186,Male,18-44,West
846,0.48377862595419846,NA,NA,NA
847,0.5783410138248848,Female,45+,Northeast
848,0.4226190476190476,Male,45+,NA
849,0.4044943820224719,Female,18-44,Midwest
850,0.2619047619047619,Female,45+,South
852,0.6659604519774012,Female,18-44,NA
853,0.13385826771653545,Female,18-44,Midwest
854,0.29213483146067415,Female,18-44,West
